signal,horizon,n,mean_ret_bps,t_stat,p_value,sharpe,base
S12_Hurst_MeanRev_SOL,5min,42,1.988,1.039,0.3051,51.957,S12_Hurst_MeanRev
S12_Hurst_MeanRev_SOL,15min,42,1.708,0.578,0.5666,16.687,S12_Hurst_MeanRev
S12_Hurst_Momentum_HYPE,1h,121,1.559,0.331,0.741,2.819,S12_Hurst_Momentum
S12_Hurst_Momentum_ETH,1h,123,0.607,0.2,0.842,1.686,S12_Hurst_Momentum
S1_TradeImbalanceFade_SOL,1h,88,0.6,0.168,0.8666,1.68,S1_TradeImbalanceFade_SOL
S5_SmallLargeRatioFade_BTC,1h,108,0.106,0.038,0.9699,0.34,S5_SmallLargeRatioFade_BTC
S10_L2DepthImbalance_BTC,1h,142,0.003,0.001,0.999,0.01,S10_L
S7_VolumeBurst_BTC,1h,469,-0.107,-0.079,0.937,-0.342,S7_VolumeBurst_BTC
S5_SmallLargeRatioFade_ETH,1h,116,-0.542,-0.144,0.886,-1.248,S5_SmallLargeRatioFade_ETH
S9_SpreadWidenFade_HYPE,1h,139,-1.104,-0.245,0.8067,-1.947,S9_SpreadWidenFade_HYPE
S2_LargeTradeContinuation_ETH,1h,141,-0.962,-0.298,0.7658,-2.352,S2_LargeTradeContinuation_ETH
S9_SpreadWidenFade_BTC,1h,124,-1.027,-0.365,0.7156,-3.069,S9_SpreadWidenFade_BTC
S10_L2DepthImbalance_ETH,15min,477,-0.371,-0.379,0.7045,-3.252,S10_L
S1_TradeImbalanceFade_HYPE,15min,105,-0.998,-0.386,0.7006,-7.042,S1_TradeImbalanceFade_HYPE
S1_TradeImbalanceFade_ETH,1h,107,-1.371,-0.437,0.6631,-3.953,S1_TradeImbalanceFade_ETH
S10_L2DepthImbalance_HYPE,1h,141,-1.751,-0.441,0.6602,-3.472,S10_L
S10_L2DepthImbalance_SOL,1h,134,-1.52,-0.458,0.6475,-3.706,S10_L
S2_LargeTradeContinuation_BTC,1h,141,-1.09,-0.458,0.6479,-3.608,S2_LargeTradeContinuation_BTC
S12_Hurst_MeanRev_SOL,1h,29,-2.584,-0.524,0.6043,-9.109,S12_Hurst_MeanRev
S11_L2Absorption_HYPE,1h,130,-2.477,-0.59,0.5561,-4.845,S11_L
S9_SpreadWidenFade_ETH,1h,122,-2.12,-0.67,0.5042,-5.676,S9_SpreadWidenFade_ETH
S12_Hurst_Momentum_HYPE,5min,592,-0.526,-0.765,0.4445,-10.196,S12_Hurst_Momentum
S5_SmallLargeRatioFade_BTC,15min,109,-0.86,-0.816,0.4162,-14.634,S5_SmallLargeRatioFade_BTC
S12_Hurst_Momentum_SOL,1h,111,-3.324,-0.96,0.3389,-8.532,S12_Hurst_Momentum
S2_LargeTradeContinuation_SOL,1h,132,-3.095,-0.982,0.3278,-8.001,S2_LargeTradeContinuation_SOL
S12_Hurst_MeanRev_HYPE,1h,74,-5.793,-0.984,0.3282,-10.711,S12_Hurst_MeanRev
S9_SpreadWidenFade_SOL,15min,398,-1.105,-1.055,0.292,-9.9,S9_SpreadWidenFade_SOL
S12_Hurst_Momentum_ETH,15min,364,-1.083,-1.058,0.2907,-10.381,S12_Hurst_Momentum
S12_Hurst_Momentum_BTC,1h,91,-3.751,-1.187,0.2384,-11.644,S12_Hurst_Momentum
S5_SmallLargeRatioFade_BTC,5min,109,-0.908,-1.194,0.2351,-37.078,S5_SmallLargeRatioFade_BTC
S3_ArrivalRateFade_ETH,1h,481,-2.16,-1.261,0.2078,-5.383,S3_ArrivalRateFade_ETH
S5_SmallLargeRatioFade_HYPE,1h,58,-8.712,-1.335,0.1873,-16.403,S5_SmallLargeRatioFade_HYPE
S10_L2DepthImbalance_ETH,1h,134,-4.694,-1.351,0.1791,-10.92,S10_L
S10_L2DepthImbalance_SOL,15min,527,-1.103,-1.41,0.1592,-11.496,S10_L
S2_LargeTradeContinuation_HYPE,1h,141,-6.37,-1.452,0.1487,-11.447,S2_LargeTradeContinuation_HYPE
S5_SmallLargeRatioFade_SOL,1h,80,-5.954,-1.498,0.138,-15.679,S5_SmallLargeRatioFade_SOL
S9_SpreadWidenFade_SOL,1h,122,-4.979,-1.583,0.116,-13.415,S9_SpreadWidenFade_SOL
S10_L2DepthImbalance_HYPE,15min,551,-1.959,-1.707,0.0884,-13.61,S10_L
S12_Hurst_MeanRev_HYPE,15min,128,-4.427,-1.714,0.089,-28.355,S12_Hurst_MeanRev
S12_Hurst_Momentum_HYPE,15min,336,-2.649,-1.77,0.0776,-18.075,S12_Hurst_Momentum
S12_Hurst_Momentum_BTC,15min,250,-1.774,-1.775,0.0771,-21.014,S12_Hurst_Momentum
