w,coin,nL,nS,medL,medS,perday
0xbe794fb9ffbdf85ff4719b32f928ed9ea2d0e053,HYPE,519,580,3,0,5.7
0x8c6a75ab8ea278fe05f655a1f9fbe34d4b73ce72,HYPE,428,534,2,3,5.0
0x494a023953882902d6d822fecff5b67b7b110c7f,HYPE,480,446,17,17,4.8
0x40250d079f65cf28381693d36fbed60f820c4d39,HYPE,447,432,30,29,4.6
0xd2eb648da047866d2eb5c0a91a5e1a428fd63b8d,ZEC,297,287,8,6,3.0
0xc2542d678f84843bf072c1f88a811bc5a91d349c,BTC,307,196,1,4,2.6
0x1a7ec13cec733f312e214ba230736981a5e944f7,SOL,281,210,17,15,2.6
0x2a5baf7af50cf7fcc091ef74a7765ffeb6ec1442,SOL,232,213,16,13,2.3
0x6d90dc7160a3684a9cd0e86f731bae8f187a6f6d,SUI,178,251,40,51,2.2
0x223a5a7bb75a2f829d90d3ea83d41e8653a6a9ad,BTC,170,229,7,6,2.1
0xa8767df2cdc2ce07576cca9090f24359c19a5244,SOL,167,230,46,42,2.1
0x56b23358ceb7935f4047b676c2673e91c4466cbe,BTC,188,200,14,15,2.0
0x87a31bc1836ddf6ef310045a8b4c36f18a108a0d,HYPE,151,202,29,35,1.8
0xf9bea0dfcf254985b435b0a98b249533944a571f,BTC,158,190,13,5,1.8
0xabfac235d48c9f5819b7d0370c8d4908cedeb624,SOL,149,170,11,22,1.7
0x51b84d307cf9936b0a3eeb8b1cf4a53dc28f931a,HYPE,37,283,17,8,1.7
0x4d7c182c15c83f1a1574767f72ddd06ee1498136,SOL,171,130,35,24,1.6
0x576bd27f74e4599d555316928be43e752edf4bfb,BTC,127,162,0,4,1.5
0x418df8f1452b34037ac4016c3c5b61e23cb93653,SOL,122,136,9,12,1.3
0x4e68cc91df680df032f4773c81598cddc8e66677,BTC,105,139,2,10,1.3
0x02443d1fcb2a76c99bf9bdf89de7f048d26eadba,SOL,112,116,6,14,1.2
0xffe839343e3c51f04501392b0430cd6ce940597c,HYPE,119,113,38,30,1.2
0x254b67efc690f987f7dc7a604c65e009dfe2c883,BTC,100,84,18,30,1.0
0xeeb1e9d8d2bcd88e802f63d5a417fbc251cac16f,HYPE,80,113,25,11,1.0
0x28960a249c062a5a73ea4349026154abd0e31d48,BTC,99,87,4,10,1.0
0xaab693931cb62a3530140774ff55c0b729b592bf,BTC,88,85,15,9,0.9
0xe3c9e07db2f668369d845c97544ef964d6af906c,BTC,65,102,12,27,0.9
0xada08ae02965e59ce38103e6640e02cb5a0c915f,SOL,78,100,17,3,0.9
0x24100e7ec34e312e1354361dd8417842e9a7678c,BTC,73,105,10,13,0.9
0x850b7439dc81364638d0fbbcb2ba4040c24585d4,ETH,65,112,3,2,0.9
0x7c6bf6f096fc86484debefa830312e056b9775da,BTC,73,96,11,15,0.9
0xb72bb3f7b02fa2cf76d0ae4c52eba6b4cf9deeab,BTC,95,50,2,8,0.8
0x8b3fdc7ff783ea742b9abffd79ec716bb24312d7,BTC,45,102,10,17,0.8
0x7b27b0a145718b9b9aea0fd83a6f6fe41b0eb0fd,BTC,96,53,10,12,0.8
0x21e05bf343cf994c1af2713836d8c5d159162194,FARTCOIN,92,62,28,0,0.8
0x670fec8aacee3ef00a011a6d5bcac342936686fa,ETH,53,98,5,19,0.8
0x0a492daa720d391fe69608ca7ecdaf538dec38e0,BTC,91,67,22,23,0.8
0xe0a9ab8dfe08bbb2e12ebbbc249673cd530630b4,BTC,44,109,0,0,0.8
0xfa63260309f4521af1d82316dae1ff5c9b5e9326,HYPE,87,59,10,20,0.8
0x0ba1a555123009c1561b38fbece67ce43e840631,BTC,69,67,10,5,0.7
0x41175f13688e56516127df9b57bf4451ed66f2a4,LIT,63,69,22,51,0.7
0xcaf00d74c49de9d28fd237b64812907703e99393,SOL,69,65,41,44,0.7
0x971bfd5148f42ccfbb21bafe962e09b766c65b13,SOL,87,40,4,13,0.7
0x7109d35fa3063b50d4d8f4e87f3868b54d1b5839,SOL,90,46,23,11,0.7
0x53aa125da24cfc3f7a776f0d02f8ff681a8f6f2a,BTC,67,58,7,7,0.7
0x7460755c2375337c0e2153c643061d0dd3857249,SOL,67,58,17,29,0.7
0x07cd35522a740f957a00c9cd44dd2d038357b3bf,BTC,77,51,3,4,0.7
0x0c7c327b36f2d1cc1734fc8981b78f2bc9ed9f07,BTC,71,39,8,4,0.6
0xcb9b3e5ebed22021cf4ff70c27fee6e3d4113334,BTC,47,72,16,8,0.6
0xdd9bd5ce8dc102f8ff107fd7e2e3b046282c5ba2,BTC,39,74,13,15,0.6
0x87f61bf7e08081495118a44ad566f44eacf8883e,BTC,40,52,9,13,0.5
0x09b7a3a5b5a54dcec5e3fa3ce32e683d4457a1cf,BTC,40,51,9,15,0.5
