w,coin,trL,trS,teL,teS,nteL,nteS
0x4d7c182c15c83f1a1574767f72ddd06ee1498136,SOL,30,20,43,37,32,21
0x6c009ba89bb2211b223dbda5e7761837a023d75f,SOL,20,0,42,14,19,17
0xffe839343e3c51f04501392b0430cd6ce940597c,HYPE,37,31,38,27,46,41
0xa8767df2cdc2ce07576cca9090f24359c19a5244,SOL,52,50,30,33,47,51
0x1b47d8d9a356bebe911c416c46d3c8a36d64fdb3,BTC,14,1,30,25,30,13
0x6d90dc7160a3684a9cd0e86f731bae8f187a6f6d,SUI,43,50,26,66,39,41
0x418df8f1452b34037ac4016c3c5b61e23cb93653,SOL,1,1,26,25,33,38
0xddfca8bc48630c4d1911a19102afb9c62c86d366,HYPE,4,19,24,6,48,40
0x55c55bd253365f784bf5b97d8ce31940c5d24a5a,BTC,10,11,21,9,17,10
0x40250d079f65cf28381693d36fbed60f820c4d39,HYPE,40,33,20,17,126,119
0x8bf5ec9dedbf1d5ece8101ccc302711a7c3a7d4f,ETH,14,6,19,14,16,16
0x25aacf87bfa0ca813110cfafc089e6590128bc57,BTC,0,16,19,2,16,47
0x87a31bc1836ddf6ef310045a8b4c36f18a108a0d,HYPE,34,40,18,26,24,51
0xf98438007cb0a919374f276f135fccd8a94fe26d,ETH,24,30,18,9,15,15
0x494a023953882902d6d822fecff5b67b7b110c7f,HYPE,18,18,17,16,242,224
0xf9bea0dfcf254985b435b0a98b249533944a571f,BTC,10,5,14,4,63,72
0x1d6c55de5e337d4d77920888085628094d915f5e,HYPE,12,21,13,15,34,35
0x4cb6d916efdd4e59346d4209f9beff8ba83d4e22,BTC,6,14,12,11,20,29
0x7c6bf6f096fc86484debefa830312e056b9775da,BTC,8,17,12,12,40,30
0xd691e9bcf06115b0e0a1e9c8611340a3a32d3744,LINK,17,26,12,16,23,35
0xac10d142b23c38a979f2f33138eef80365cc2820,BTC,7,5,11,3,69,53
0xf6b39395455e523b6c2e78cf179a1274b405582e,BTC,13,21,9,8,14,21
0x4e68cc91df680df032f4773c81598cddc8e66677,BTC,1,8,7,13,27,38
0x56b23358ceb7935f4047b676c2673e91c4466cbe,BTC,17,17,6,6,59,67
0xc1d679f1ed155b675b4e25d7a750e0c12c6bbc14,BTC,3,1,6,6,23,16
0xc2542d678f84843bf072c1f88a811bc5a91d349c,BTC,0,4,5,4,31,24
0x3325cb56401b4c58890863ee46317c0c39a1e16c,ETH,2,41,3,12,20,53
0xc80e26ec32dc5a9b357850a8c53b4cb3a607716d,BTC,7,4,3,5,151,84
0x4a32b74856a1ce3810bfba50757ffe3475069df9,BTC,1,7,3,9,48,102
0xabb3dec39bacf1f2d346329dbeef6d96c5db50f6,BTC,19,16,3,18,18,17
0x24100e7ec34e312e1354361dd8417842e9a7678c,BTC,14,19,1,3,13,14
