w,wins,posmed,cleanwins,avgjp,minn
0xaa22b49a630f40267e2bd0be458c798c13a242dd,10,10,10,83.4,16
0x0d5c05fd3509dd7a35b956d73e0e4e8b2afdb82a,10,10,10,77.7,11
0x4b87a591de8aca588ed52999e735be0ec2e5b8e7,10,10,10,76.9,12
0xa89416a6532e0ecc7437af943ae5c988794ac5c2,13,12,13,67.5,9
0x23ac3677e37752cea9484ca0340632bf09c1f7d6,12,10,12,66.1,8
0x14261696e629e97643bd126d47e46a29bf8e44d3,12,9,12,34.2,11
0x68350a86f41bb9ad2a60778c733b4a11001901bc,11,10,11,30.2,10
0x8318a9aa3993365cd200f17eab2e71e56250e5be,13,11,13,30.1,12
0x92eabda862d24d290b5ee28ecc8e29587907804a,11,10,11,27.8,13
0x0bb81e516c88881c54529e1790470cb5e9f8740d,11,10,11,26.5,11
0xdc899ed4a80e7bbe7c86307715507c828901f196,10,10,10,23.4,11
0xc22db2c04e054786426671cec0b766c07304fb20,12,11,12,20.6,12
0x87a31bc1836ddf6ef310045a8b4c36f18a108a0d,11,11,11,18.7,20
0x5dca68cb6acd425549a7eceebb0baf33e7c9a055,11,8,11,16.9,9
0xa8767df2cdc2ce07576cca9090f24359c19a5244,13,10,13,14.6,18
0x40250d079f65cf28381693d36fbed60f820c4d39,13,12,13,13.7,35
0x418df8f1452b34037ac4016c3c5b61e23cb93653,10,8,10,11.7,11
0x6d90dc7160a3684a9cd0e86f731bae8f187a6f6d,10,7,10,11.4,14
0xff9fbc44a3dbd688f6eb1f1ee8f1ab2f98aee64f,13,10,13,9.2,16
0x8c6a75ab8ea278fe05f655a1f9fbe34d4b73ce72,11,9,11,7.9,23
0x61cc8482401e12fb70f03dff2fa1c326c434e60f,13,10,13,7.4,33
0xbe794fb9ffbdf85ff4719b32f928ed9ea2d0e053,12,9,12,6.1,27
0xa415c4ded17cac76a1d81a54d9f4aeb48ffd4dd0,13,12,13,5.7,21
0xdc7caa98995cceea096aa9149d5f4eb08c57c5ae,13,10,12,4.7,10
