w,coin,nL,nS,medL,medS,perday
0xbe794fb9ffbdf85ff4719b32f928ed9ea2d0e053,HYPE,706,807,10.0,5.0,7.9
0x8c6a75ab8ea278fe05f655a1f9fbe34d4b73ce72,HYPE,555,678,11.0,9.0,6.4
0x494a023953882902d6d822fecff5b67b7b110c7f,HYPE,565,591,5.0,6.0,6.0
0x40250d079f65cf28381693d36fbed60f820c4d39,HYPE,496,478,13.0,7.0,5.1
0xbb379dd4c5fb61ca4a99d7d62bc858eb4c266d3c,HYPE,360,307,2.0,1.0,3.5
0xdc7caa98995cceea096aa9149d5f4eb08c57c5ae,BTC,397,247,4.0,1.0,3.4
0x15b74fc9a45e117f558773ec8af636ea5c6ad029,SOL,278,336,3.0,5.0,3.2
0x5c2a56789003b1199dcda05b360ea17e689d5c8d,SOL,311,275,0.0,4.0,3.1
0xc2542d678f84843bf072c1f88a811bc5a91d349c,BTC,352,237,2.0,5.0,3.1
0x223a5a7bb75a2f829d90d3ea83d41e8653a6a9ad,BTC,232,313,13.0,5.0,2.8
0x1a7ec13cec733f312e214ba230736981a5e944f7,SOL,296,233,14.0,10.0,2.8
0x56d31ebb628d07be39801f61917e375b6deea18b,BTC,267,263,0.0,0.0,2.8
0x70d0bf168c1c3942585510807907910a386062b1,ETH,266,266,5.0,14.0,2.8
0x2a5baf7af50cf7fcc091ef74a7765ffeb6ec1442,SOL,268,255,12.0,9.0,2.7
0x87a31bc1836ddf6ef310045a8b4c36f18a108a0d,HYPE,224,289,18.0,21.0,2.7
0x6241d91ff074d79708b53ee66d6522d02a98b6e4,BTC,186,323,3.0,2.0,2.7
0xce2d512c4ce224f0bff2c751dd9cda8e4215f34f,VVV,194,315,9.0,2.0,2.7
0x7d9ea6549d5b86ef07b9fa2f1cbac52fc523df65,BTC,367,145,0.0,1.0,2.7
0xa8767df2cdc2ce07576cca9090f24359c19a5244,SOL,198,277,25.0,22.0,2.5
0x5e0ab42b3ffa18c8c48bd69da5d013dbda66ab46,XPL,324,142,17.0,5.0,2.4
0xfb3ec1b4a86717988540aaecfcb3f2115c50d2e6,BTC,212,253,0.0,2.0,2.4
0xada08ae02965e59ce38103e6640e02cb5a0c915f,SOL,221,221,14.0,10.0,2.3
0x6609588a0972f687aedf31627bdc81f9dd91f8aa,BTC,222,219,1.0,2.0,2.3
0xf9bea0dfcf254985b435b0a98b249533944a571f,BTC,216,235,4.0,1.0,2.3
0x6d90dc7160a3684a9cd0e86f731bae8f187a6f6d,SUI,175,243,19.0,36.0,2.2
0xaf91ae8c124ec6eec67d69c4e96ba5bf1174d914,BTC,130,289,2.0,3.0,2.2
0x9080c3570a838a482f23b4906751e1b286fc25f6,SOL,238,185,1.0,2.0,2.2
0x4d7c182c15c83f1a1574767f72ddd06ee1498136,SOL,231,199,24.0,23.0,2.2
0xc1be19fc82798c9779594fd4d42e92e926aa1552,XPL,209,213,12.0,9.0,2.2
0x576bd27f74e4599d555316928be43e752edf4bfb,BTC,178,231,7.0,4.0,2.1
0xabfac235d48c9f5819b7d0370c8d4908cedeb624,SOL,170,200,13.0,16.0,1.9
0x9864bb6d8359a7eea4ea112dd82c6134bfd0c611,BTC,221,136,6.0,31.0,1.9
0x46355165acb89ec4f692db4d2927b728ff7f2e15,HYPE,160,185,29.0,21.0,1.8
0x49a809dcdde78d4bc5007943bc6321f9d8391dd8,SOL,238,101,2.0,8.0,1.8
