w,coin,trL,trS,teL,teS,nteL,nteS
0xdd045c1bf7434dd929aaa19dbd2809ea5436a71a,FARTCOIN,5,103,134,30,38,22
0xc300d0d4511a063bb665066e5d45e52401a88c63,ETH,16,24,88,19,5,9
0x55c522d16891ac314104a78af3d7663de9c7777e,BTC,16,63,73,59,11,6
0x837d00451a000d75869f525803eb5bcc2a7acc68,BTC,15,46,51,10,8,5
0x2689ee9c62e838955110191b672059c700a412dc,ZEC,36,55,45,194,14,5
0x4d7c182c15c83f1a1574767f72ddd06ee1498136,SOL,30,20,43,37,32,21
0x6c009ba89bb2211b223dbda5e7761837a023d75f,SOL,20,0,42,14,19,17
0xffe839343e3c51f04501392b0430cd6ce940597c,HYPE,37,31,38,27,46,41
0xada08ae02965e59ce38103e6640e02cb5a0c915f,SOL,16,2,38,9,9,12
0x853f2eec30752fe699def26cabd4b905bacf61fc,AVAX,40,20,37,27,15,14
0xd0dd1876e818e627096b8445ce4e9bc34e968449,ETH,93,8,32,34,16,8
0xa8767df2cdc2ce07576cca9090f24359c19a5244,SOL,52,50,30,33,47,51
0x1b47d8d9a356bebe911c416c46d3c8a36d64fdb3,BTC,14,1,30,25,30,13
0x294d80a54ecd3e2013024beb6a9106e619329dd1,SOL,34,39,28,69,16,5
0x2b9c85826142da1ff81803fb424be288dba27fdf,BTC,9,47,27,16,9,28
0x418df8f1452b34037ac4016c3c5b61e23cb93653,SOL,1,1,26,25,33,38
0x6d90dc7160a3684a9cd0e86f731bae8f187a6f6d,SUI,43,50,26,66,39,41
0xddfca8bc48630c4d1911a19102afb9c62c86d366,HYPE,4,19,24,6,48,40
0xcdf42f52be664e84395f848678213f1282bf5e07,ETH,1,13,24,37,7,7
0xadfd460807f0dbb9fb57e9912a30969eff469812,BTC,27,13,24,28,25,6
0x113b0c71f9202178d3433e7d7887accdecbfef64,BTC,16,22,23,3,21,13
0x55c55bd253365f784bf5b97d8ce31940c5d24a5a,BTC,10,11,21,9,17,10
0x40250d079f65cf28381693d36fbed60f820c4d39,HYPE,40,33,20,17,126,119
0x25aacf87bfa0ca813110cfafc089e6590128bc57,BTC,0,16,19,2,16,47
0x99b49ed2c7e9910f56b50e984437c014cd00c21c,BTC,42,31,19,9,8,21
0x8bf5ec9dedbf1d5ece8101ccc302711a7c3a7d4f,ETH,14,6,19,14,16,16
0x87a31bc1836ddf6ef310045a8b4c36f18a108a0d,HYPE,34,40,18,26,24,51
0xf98438007cb0a919374f276f135fccd8a94fe26d,ETH,24,30,18,9,15,15
0xbbb0c5f2e2ccf64563a8752f921dd541661e8cad,BTC,21,15,17,7,26,15
0x494a023953882902d6d822fecff5b67b7b110c7f,HYPE,18,18,17,16,242,224
0x44b8461f03204cbab6e2a15e4af4fadb924530a9,BTC,22,5,17,36,9,19
0x0fe0251e8382afc65758a3bb4d39fc1ff628be8e,BTC,24,33,16,18,32,13
0xa570d1a56bafe54e09bff545ad0ede8624801ac7,HYPE,8,12,15,7,6,10
0xf9bea0dfcf254985b435b0a98b249533944a571f,BTC,10,5,14,4,63,72
0x0c7c327b36f2d1cc1734fc8981b78f2bc9ed9f07,BTC,8,6,14,1,22,5
0x1d6c55de5e337d4d77920888085628094d915f5e,HYPE,12,21,13,15,34,35
0x2346610debdff5b237a746709d326ae2eacca0e0,ETH,2,6,13,44,8,7
0xedee3dad682118ce006ba4d35d1c38ad4fcc27e9,ZEC,23,12,13,41,9,33
0x5a7b1a37376c6c8b4983f0db7562e53c9944170d,LTC,18,18,13,19,18,17
0x4cb6d916efdd4e59346d4209f9beff8ba83d4e22,BTC,6,14,12,11,20,29
0xd691e9bcf06115b0e0a1e9c8611340a3a32d3744,LINK,17,26,12,16,23,35
0x7c6bf6f096fc86484debefa830312e056b9775da,BTC,8,17,12,12,40,30
